# servinga GmbH - Geofeed (datatracker.ietf.org/doc/html/rfc8805)
# last updated: 2023-01-09
94.247.42.0/24,CH,CH-ZG,Huenenberg,
45.11.181.0/24,RO,RO-B,Bucharest,
185.158.248.0/24,RO,RO-B,Bucharest,
91.240.202.0/24,GB,GB-MAN,Manchester,
91.242.217.0/24,GB,GB-MAN,Manchester,
185.158.250.0/24,GB,GB-MAN,Manchester,
37.10.71.0/24,GB,GB-MAN,Manchester,
45.11.180.0/24,GB,GB-MAN,Manchester,
109.230.199.0/24,SE,SE-AB,Stockholm,
194.76.224.0/24,SE,SE-AB,Stockholm,
45.11.182.0/24,SE,SE-AB,Stockholm,
91.242.219.0/24,SE,SE-AB,Stockholm,
91.241.93.0/24,DE,DE-HE,Frankfurt,
194.76.226.0/24,DE,DE-HE,Frankfurt,
185.158.251.0/24,DE,DE-HE,Frankfurt,
185.212.44.0/24,DE,DE-HE,Frankfurt,
185.212.45.0/24,DE,DE-HE,Frankfurt,
185.212.46.0/24,DE,DE-HE,Frankfurt,
185.212.47.0/24,DE,DE-HE,Frankfurt,
185.219.220.0/23,DE,DE-HE,Frankfurt,
185.219.222.0/24,DE,DE-HE,Frankfurt,
185.219.223.0/24,DE,DE-HE,Frankfurt,
79.132.130.0/24,DE,DE-HE,Frankfurt,
79.132.131.0/24,DE,DE-HE,Frankfurt,
79.132.134.0/24,DE,DE-HE,Frankfurt,
79.132.128.0/24,NL,NL-ZH,Naaldwijk,
79.132.129.0/24,NL,NL-ZH,Naaldwijk,
79.132.132.0/24,NL,NL-ZH,Naaldwijk,
79.132.133.0/24,NL,NL-ZH,Naaldwijk,
193.242.210.0/23,NL,NL-ZH,Naaldwijk,
194.76.225.0/24,NL,NL-ZH,Naaldwijk,
185.158.249.0/24,NL,NL-ZH,Naaldwijk,
31.214.157.0/24,NL,NL-ZH,Naaldwijk,
80.77.25.0/24,EE,EE-784,Tallinn,
194.76.227.0/24,EE,EE-784,Tallinn,
45.11.183.0/24,EE,EE-784,Tallinn,
78.138.9.0/24,ES,ES-CT,Barcelona,
79.132.135.0/24,ES,ES-CT,Barcelona,
185.178.231.0/24,ES,ES-CT,Barcelona,
